OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
IRIDIUM 33 DEB,1997-051MP,2024-01-23T01:34:35.315328,14.82694732,.0043362,86.4452,42.8091,334.8284,25.0824,0,U,34869,999,77455,.13869E-1,.115435E-2,0
IRIDIUM 33 DEB,1997-051MQ,2024-01-21T23:25:23.255904,14.58141779,.0028185,86.3172,265.4107,49.5306,13.2665,0,U,34870,999,78782,.15668E-2,.728E-4,0
IRIDIUM 33 DEB,1997-051MY,2024-01-23T00:28:05.157696,14.55271308,.0035064,86.3324,273.0775,47.8360,17.1615,0,U,34896,999,78256,.11609E-2,.509E-4,0
IRIDIUM 33 DEB,1997-051NA,2024-01-13T13:32:42.947808,15.03622805,.0010653,86.3194,224.3310,66.8653,293.3703,0,U,34898,999,78835,.49079E-2,.67761E-3,0
IRIDIUM 33 DEB,1997-051NF,2024-01-22T20:03:49.398624,14.23833703,.0155672,86.1465,319.2145,29.5266,23.9157,0,U,34926,999,76538,.75771E-2,.19706E-3,0
IRIDIUM 33 DEB,1997-051NH,2024-01-20T17:22:07.041504,14.71767727,.0023701,86.3960,292.6818,258.1883,101.6675,0,U,34928,999,55915,.24694E-2,.15523E-3,0
IRIDIUM 33 DEB,1997-051NR,2024-01-22T09:13:59.278368,14.37723146,.0022802,86.3734,350.2645,345.3389,168.4681,0,U,34985,999,77240,.13146E-2,.3983E-4,0
IRIDIUM 33 DEB,1997-051NS,2024-01-22T12:27:54.481248,14.97981375,.001657,86.3656,314.2800,9.3386,350.8150,0,U,34986,999,77867,.10237E-1,.12307E-2,0
IRIDIUM 33 DEB,1997-051NV,2024-01-22T16:23:02.845248,15.06335813,.0008789,86.3556,273.0503,297.4591,62.5750,0,U,35049,999,61617,.60368E-2,.8984E-3,0
IRIDIUM 33 DEB,1997-051NX,2024-01-22T13:16:51.766752,14.41724987,.00067,86.3273,308.1770,204.4359,155.6524,0,U,35051,999,77030,.11284E-2,.3699E-4,0
IRIDIUM 33 DEB,1997-051NY,2024-01-22T13:52:11.830080,14.36786571,.0011407,86.3333,315.8548,173.9181,186.2157,0,U,35052,999,77359,.39131E-3,.1175E-4,0
IRIDIUM 33 DEB,1997-051PE,2024-01-22T11:17:59.263584,14.41579329,.0114648,86.4145,97.0081,163.1344,197.3719,0,U,35079,999,76353,.54248E-2,.19135E-3,0
IRIDIUM 33 DEB,1997-051PF,2024-01-22T08:56:23.895456,14.31661379,.0147072,86.2333,4.3467,340.2963,19.2583,0,U,35080,999,59665,.82718E-2,.24911E-3,0
IRIDIUM 33 DEB,1997-051PJ,2024-01-22T22:27:28.152864,14.94700458,.0008322,86.3053,257.5616,126.5281,288.8025,0,U,35294,999,77960,.51344E-2,.56131E-3,0
IRIDIUM 33 DEB,1997-051PL,2024-01-19T09:55:36.995232,14.69882283,.0003125,86.3001,265.5343,185.8464,174.2716,0,U,35296,999,60998,.33816E-2,.20281E-3,0
